sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos143	35.886225600034749	-75.582920527915732	-33.451942471787333	0.014099999330937862	0.010099999606609344	RTK fixed	6319
ScanPos144	35.886069363123987	-75.582846332346307	-33.613963938318193	0.014099999330937862	0.010099999606609344	RTK fixed	6319
ScanPos145	35.885900954867999	-75.582873093355772	-32.718160022981465	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos146	35.885722637711311	-75.582792270405506	-32.483362589031458	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos147	35.885545748906992	-75.582712304960921	-32.220798921771348	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos148	35.885445614900718	-75.582636655402695	-31.943245330825448	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos149	35.885419360220077	-75.58243744471261	-33.608939400874078	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos150	35.885419330892027	-75.582437384371559	-33.604646450839937	0.014099999330937862	0.010999999940395355	RTK fixed	6319
ScanPos151	35.885419341741766	-75.582437473087538	-33.59986007027328	0.014099999330937862	0.010999999940395355	RTK fixed	6319
ScanPos152	35.859626254982601	-75.569116024586265	-34.260242467746139	0.014099999330937862	0.015799999237060547	RTK fixed	6319
ScanPos153	35.85956731812405	-75.569435098666716	-29.448574745096266	0.014099999330937862	0.0139999995008111	RTK fixed	6319
ScanPos154	35.859567298136668	-75.569435088782654	-29.44237604457885	0.014099999330937862	0.010999999940395355	RTK fixed	6319
ScanPos155	35.859506715568337	-75.569028295019407	-34.26976612303406	0.014099999330937862	0.012799999676644802	RTK fixed	6319
ScanPos156	35.859370469728901	-75.569181316850006	-32.235762000083923	0.014099999330937862	0.013100000098347664	RTK fixed	6319
ScanPos157	35.859214229918344	-75.569165296100152	-31.070923130959272	0.014099999330937862	0.010999999940395355	RTK fixed	6319
ScanPos158	35.859112707058195	-75.569083852810763	-31.427546510472894	0.78999996185302734	0.82199996709823608	RTK float	6319
ScanPos159	35.859302887387088	-75.569002591369994	-33.756790917366743	0.84299993515014648	0.82899993658065796	RTK float	6319
ScanPos160	35.859118981068477	-75.568944601079778	-33.60915326885879	0.44099998474121094	0.4649999737739563	RTK float	6319
ScanPos161	35.858991672761682	-75.569057356977737	-32.275395689532161	0.29399996995925903	0.31999999284744263	RTK float	6319
ScanPos162	35.858961811729287	-75.568873326905859	-33.656021604314446	0.18600000441074371	0.21699997782707214	RTK float	6319
ScanPos163	35.85876360447017	-75.568806220407893	-33.063689020462334	0.16099998354911804	0.18700000643730164	RTK float	6319
ScanPos164	35.858809526429155	-75.568939381924508	-29.794997124001384	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos166	35.870571300466125	-75.574606219540286	-34.33240319788456	0.78999996185302734	0.77899998426437378	RTK float	6319
ScanPos167	35.870416105177654	-75.574669944169301	-32.625915030017495	0.45329999923706055	0.62209999561309814	Single	6319
ScanPos168	35.870356057406575	-75.574461138636067	-34.231543093919754	1.0946999788284302	1.497999906539917	Single	6319
ScanPos169	35.870237583249434	-75.574542952829745	-30.320963651873171	1.1398999691009521	1.6568999290466309	Single	6319
ScanPos170	35.870138932603894	-75.574362293707694	-33.21820314321667	1.1949999332427979	1.9319999217987061	Single	6319
ScanPos171	35.86992828694067	-75.574370311260736	-31.827471100725234	1.2822999954223633	2.28659987449646	Single	6319
ScanPos172	35.869811936961952	-75.574202968559788	-33.162157312966883	1.0990999937057495	1.9606999158859253	Single	6319
ScanPos173	35.869600097632045	-75.57421184808868	-32.690569749101996	0.55099999904632568	0.98699992895126343	RTK float	6319
